"pathway","source","size","FAC_vs_Cont:
p-value","FAC_vs_Cont:
Benjamin-Hochberg adjusted p-value","FAC_vs_Cont:
Normalized enrichment score","LiproxposFAC_vs_Cont:
p-value","LiproxposFAC_vs_Cont:
Benjamin-Hochberg adjusted p-value","LiproxposFAC_vs_Cont:
Normalized enrichment score","MTposFAC_vs_Cont:
p-value","MTposFAC_vs_Cont:
Benjamin-Hochberg adjusted p-value","MTposFAC_vs_Cont:
Normalized enrichment score"
"BIOCARTA_CTBP1_PATHWAY","BIOCARTA",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CTCF_PATHWAY","BIOCARTA",24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CTL_PATHWAY","BIOCARTA",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CTLA4_PATHWAY","BIOCARTA",22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CXCR4_PATHWAY","BIOCARTA",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_CYTOKINE_PATHWAY","BIOCARTA",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_D4GDI_PATHWAY","BIOCARTA",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_DC_PATHWAY","BIOCARTA",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_DEATH_PATHWAY","BIOCARTA",29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_DICER_PATHWAY","BIOCARTA",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_DNAFRAGMENT_PATHWAY","BIOCARTA",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_DREAM_PATHWAY","BIOCARTA",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_DSP_PATHWAY","BIOCARTA",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ECM_PATHWAY","BIOCARTA",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_EDG1_PATHWAY","BIOCARTA",22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_EEA1_PATHWAY","BIOCARTA",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_EFP_PATHWAY","BIOCARTA",16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_EGF_PATHWAY","BIOCARTA",27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_EGFR_SMRTE_PATHWAY","BIOCARTA",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_EICOSANOID_PATHWAY","BIOCARTA",22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_EIF_PATHWAY","BIOCARTA",16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_EIF2_PATHWAY","BIOCARTA",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_EIF4_PATHWAY","BIOCARTA",24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_EOSINOPHILS_PATHWAY","BIOCARTA",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_EPHA4_PATHWAY","BIOCARTA",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_EPO_PATHWAY","BIOCARTA",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_EPONFKB_PATHWAY","BIOCARTA",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ERAD_PATHWAY","BIOCARTA",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ERBB3_PATHWAY","BIOCARTA",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ERBB4_PATHWAY","BIOCARTA",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ERK_PATHWAY","BIOCARTA",27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ERK5_PATHWAY","BIOCARTA",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ERYTH_PATHWAY","BIOCARTA",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ETC_PATHWAY","BIOCARTA",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_ETS_PATHWAY","BIOCARTA",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_EXTRINSIC_PATHWAY","BIOCARTA",13,0.9654387417218543,0.9654387417218543,-0.5213852777490847,0.17841363349463496,0.41907991620737506,-1.2913880154372914,0.3289286440333401,0.6297434888468065,-1.1422233499525996
"BIOCARTA_FAS_PATHWAY","BIOCARTA",30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_FBW7_PATHWAY","BIOCARTA",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_FCER1_PATHWAY","BIOCARTA",39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_FEEDER_PATHWAY","BIOCARTA",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_FIBRINOLYSIS_PATHWAY","BIOCARTA",12,0.7410678442392613,0.8595684083689342,-0.8430749508093441,0.21633825944170773,0.41907991620737506,-1.193940815222972,0.3895870736086176,0.6297434888468065,-1.0767207605458127
"BIOCARTA_FLUMAZENIL_PATHWAY","BIOCARTA",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_FMLP_PATHWAY","BIOCARTA",34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_FOSB_PATHWAY","BIOCARTA",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_FREE_PATHWAY","BIOCARTA",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_FXR_PATHWAY","BIOCARTA",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_G1_PATHWAY","BIOCARTA",28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_G2_PATHWAY","BIOCARTA",24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_GABA_PATHWAY","BIOCARTA",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_GATA3_PATHWAY","BIOCARTA",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_GCR_PATHWAY","BIOCARTA",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_GH_PATHWAY","BIOCARTA",27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_GHRELIN_PATHWAY","BIOCARTA",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_GLEEVEC_PATHWAY","BIOCARTA",23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_GPCR_PATHWAY","BIOCARTA",30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_GRANULOCYTES_PATHWAY","BIOCARTA",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_GSK3_PATHWAY","BIOCARTA",20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_HBX_PATHWAY","BIOCARTA",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_HCMV_PATHWAY","BIOCARTA",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_HDAC_PATHWAY","BIOCARTA",25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_HER2_PATHWAY","BIOCARTA",23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_HES_PATHWAY","BIOCARTA",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_HIF_PATHWAY","BIOCARTA",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_HIVNEF_PATHWAY","BIOCARTA",56,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_HSP27_PATHWAY","BIOCARTA",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_HSWI_SNF_PATHWAY","BIOCARTA",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IFNA_PATHWAY","BIOCARTA",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IFNG_PATHWAY","BIOCARTA",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IGF1_PATHWAY","BIOCARTA",21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IGF1MTOR_PATHWAY","BIOCARTA",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IGF1R_PATHWAY","BIOCARTA",23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IL10_PATHWAY","BIOCARTA",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IL12_PATHWAY","BIOCARTA",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IL17_PATHWAY","BIOCARTA",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IL1R_PATHWAY","BIOCARTA",31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IL2_PATHWAY","BIOCARTA",22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IL22BP_PATHWAY","BIOCARTA",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IL2RB_PATHWAY","BIOCARTA",37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IL3_PATHWAY","BIOCARTA",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IL4_PATHWAY","BIOCARTA",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IL5_PATHWAY","BIOCARTA",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IL6_PATHWAY","BIOCARTA",21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IL7_PATHWAY","BIOCARTA",16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_INFLAM_PATHWAY","BIOCARTA",29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_INSULIN_PATHWAY","BIOCARTA",21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_INTEGRIN_PATHWAY","BIOCARTA",34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_INTRINSIC_PATHWAY","BIOCARTA",23,0.33778508321347855,0.8595684083689342,-1.1209834506641436,0.2790449797484545,0.4498266066983283,-1.1801514528473585,0.366231647634584,0.6297434888468065,-1.0931394372773857
"BIOCARTA_ION_PATHWAY","BIOCARTA",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_IRES_PATHWAY","BIOCARTA",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_KERATINOCYTE_PATHWAY","BIOCARTA",46,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_KREB_PATHWAY","BIOCARTA",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_LAIR_PATHWAY","BIOCARTA",17,0.06546546546546547,0.6659418038728384,-1.3572931265273878,0.10751245688003067,0.41907991620737506,1.3167317670390664,0.08837023738280471,0.6297434888468065,1.3241941108877493
"BIOCARTA_LDL_PATHWAY","BIOCARTA",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_LECTIN_PATHWAY","BIOCARTA",13,0.46917109024091463,0.8595684083689342,-1.0255554187064686,0.6295873740254802,0.7794831478793743,0.874749169598001,0.8084223013048636,0.8931155160456185,0.7179029605878836
"BIOCARTA_LEPTIN_PATHWAY","BIOCARTA",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_LIS1_PATHWAY","BIOCARTA",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_LONGEVITY_PATHWAY","BIOCARTA",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_LYM_PATHWAY","BIOCARTA",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_LYMPHOCYTE_PATHWAY","BIOCARTA",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MAL_PATHWAY","BIOCARTA",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MALATEX_PATHWAY","BIOCARTA",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MAPK_PATHWAY","BIOCARTA",81,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MCALPAIN_PATHWAY","BIOCARTA",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MCM_PATHWAY","BIOCARTA",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MEF2D_PATHWAY","BIOCARTA",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MELANOCYTE_PATHWAY","BIOCARTA",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MET_PATHWAY","BIOCARTA",33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MHC_PATHWAY","BIOCARTA",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MITOCHONDRIA_PATHWAY","BIOCARTA",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MITR_PATHWAY","BIOCARTA",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MONOCYTE_PATHWAY","BIOCARTA",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MPR_PATHWAY","BIOCARTA",21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MRP_PATHWAY","BIOCARTA",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MSP_PATHWAY","BIOCARTA",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MTA3_PATHWAY","BIOCARTA",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MTOR_PATHWAY","BIOCARTA",22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_MYOSIN_PATHWAY","BIOCARTA",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_NDKDYNAMIN_PATHWAY","BIOCARTA",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_NEUTROPHIL_PATHWAY","BIOCARTA",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_NFAT_PATHWAY","BIOCARTA",51,0.7410678442392613,0.8595684083689342,-0.8430749508093441,0.21633825944170773,0.41907991620737506,-1.193940815222972,0.3895870736086176,0.6297434888468065,-1.0767207605458127
"BIOCARTA_NFKB_PATHWAY","BIOCARTA",21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_NGF_PATHWAY","BIOCARTA",20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_NKCELLS_PATHWAY","BIOCARTA",20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_NKT_PATHWAY","BIOCARTA",26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_NO1_PATHWAY","BIOCARTA",28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_NO2IL12_PATHWAY","BIOCARTA",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_NOS1_PATHWAY","BIOCARTA",21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_NOTCH_PATHWAY","BIOCARTA",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_NPC_PATHWAY","BIOCARTA",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_NPP1_PATHWAY","BIOCARTA",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_NTHI_PATHWAY","BIOCARTA",23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_NUCLEARRS_PATHWAY","BIOCARTA",34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_P27_PATHWAY","BIOCARTA",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_P35ALZHEIMERS_PATHWAY","BIOCARTA",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_P38MAPK_PATHWAY","BIOCARTA",36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_P53_PATHWAY","BIOCARTA",16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_P53HYPOXIA_PATHWAY","BIOCARTA",21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_PAR1_PATHWAY","BIOCARTA",19,0.7410678442392613,0.8595684083689342,-0.8430749508093441,0.21633825944170773,0.41907991620737506,-1.193940815222972,0.3895870736086176,0.6297434888468065,-1.0767207605458127
"BIOCARTA_PARKIN_PATHWAY","BIOCARTA",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_PCAF_PATHWAY","BIOCARTA",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_PDGF_PATHWAY","BIOCARTA",28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_PDZS_PATHWAY","BIOCARTA",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_PELP1_PATHWAY","BIOCARTA",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_PEPI_PATHWAY","BIOCARTA",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_PGC1A_PATHWAY","BIOCARTA",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_PITX2_PATHWAY","BIOCARTA",16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_PKC_PATHWAY","BIOCARTA",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_PLATELETAPP_PATHWAY","BIOCARTA",14,0.18316430020283975,0.8595684083689342,-1.267322017069213,0.2163231313762232,0.41907991620737506,-1.2429226736943015,0.12487572081924836,0.6297434888468065,-1.3401380345965377
"BIOCARTA_PLC_PATHWAY","BIOCARTA",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_PLCD_PATHWAY","BIOCARTA",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_PLCE_PATHWAY","BIOCARTA",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_PLK3_PATHWAY","BIOCARTA",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIOCARTA_PML_PATHWAY","BIOCARTA",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
