gene_id,p22074-s001,p22074-s002,p22074-s003,p22074-s004,p22074-s005,p22074-s006,p22074-s007,p22074-s008,p22074-s009,p22074-s010,p22074-s011,p22074-s012
Gm13455,0,0,0,0,0,0,0,0,0,0,0,0
Gm24467,0,0,0,0,0,0,0,0,0,0,0,0
Gm13456,147,98,173,519,23,160,143,112,143,280,186,124
Lrp1b,0,0,0,0,0,0,0,0,0,0,0,0
Gm27348,0,0,0,0,0,0,0,0,0,0,0,0
Gm13462,0,0,0,0,0,0,0,0,0,0,0,0
Gm13460,0,0,0,0,0,0,0,0,0,0,0,0
Gm13461,41,35,35,180,3,46,45,45,47,82,58,30
Gm13463,0,0,0,0,0,0,0,0,0,0,0,0
Mir6336,0,0,0,0,0,0,0,0,0,0,0,0
Gm24350,0,0,0,0,0,0,0,0,0,0,0,0
Gm24350.1,0,0,0,0,0,0,0,0,0,0,0,0
Gm13464,3,2,6,4,2,4,3,2,1,5,2,2
Kynu,630,1068,912,293,52,357,1291,1240,1091,1505,1362,1120
Arhgap15,0,0,0,0,0,0,0,0,0,1,0,1
Arhgap15os,0,0,0,0,0,0,0,0,0,0,0,0
Gm22867,0,0,0,0,0,0,0,0,0,0,0,0
Gtdc1,146,166,181,188,26,158,166,212,198,250,245,138
Gm13477,5,2,10,5,2,0,0,9,4,4,2,3
Zeb2,19,7,10,10,7,14,21,33,18,26,16,14
Mir5129,0,0,0,0,0,0,0,0,0,0,0,0
Zeb2os,0,0,0,0,0,0,0,0,0,0,0,0
Gm27761,0,0,0,0,0,0,0,0,0,0,0,0
Gm27404,0,0,0,0,0,0,0,0,0,0,0,0
Gm27645,0,0,0,0,0,0,0,0,0,0,0,0
Gm28643,0,0,0,0,0,0,0,0,0,0,0,0
Vis1,0,0,0,0,0,0,0,0,0,0,0,0
Gm13475,0,0,0,0,0,0,0,0,0,0,0,0
Gm13479,0,0,0,0,0,0,0,0,0,0,0,0
Gm13478,0,0,0,0,0,0,0,0,0,0,0,0
X1700019E08Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm13465,0,0,0,0,0,0,0,0,0,0,0,0
Gm13467,0,0,0,0,0,0,0,0,0,0,0,0
Gm13466,0,0,0,0,0,0,0,0,0,0,1,0
Gm23072,0,0,0,0,0,0,0,0,0,0,0,0
Gm13469,0,0,0,0,0,0,0,0,0,0,0,0
Gm13470,0,0,0,0,0,0,0,0,2,0,0,2
Gm25264,0,0,0,0,0,0,0,0,0,0,0,0
Gm25959,0,0,0,0,0,0,0,0,0,0,0,0
Gm13481,0,0,0,0,0,0,0,0,0,0,0,0
Gm13471,0,0,0,0,0,0,0,0,0,0,0,0
Gm13482,0,0,0,0,0,0,0,0,0,0,0,0
Gm25338,0,0,0,0,0,0,0,0,0,0,0,0
Gm13472,0,0,0,0,0,0,0,0,0,0,0,0
Gm13489,0,0,0,0,0,0,0,0,0,0,0,0
Acvr2a,895,946,892,1363,200,1199,1304,1181,979,1323,1240,968
Orc4,1102,1151,1088,1230,202,1197,1348,1386,1015,1331,1301,1135
Mbd5,78,146,86,146,20,133,165,150,175,193,163,105
Gm13510,0,0,0,0,0,0,0,0,0,0,0,0
Ap2m1.ps,210,277,219,534,29,207,288,293,293,484,419,286
Gm13508,0,0,0,0,0,0,0,0,0,0,0,0
Gm25215,0,0,0,0,0,0,0,0,0,0,0,0
Epc2,38,58,54,84,10,61,89,104,72,78,76,70
Kif5c,12,22,19,21,11,33,2,22,10,4,8,3
Gm13525,0,0,0,0,0,0,0,0,0,0,0,0
Lypd6b,0,0,0,0,0,0,1,0,0,0,0,0
Gm13480,0,0,0,0,0,0,0,0,0,0,0,0
Gm25223,0,0,0,0,0,0,0,0,0,0,0,0
Lypd6,0,0,0,0,0,0,0,0,0,0,0,0
Mmadhc,2521,3165,2997,2922,448,2856,4116,3879,3505,4381,4397,3036
Gm13483,1,3,5,0,0,0,2,1,2,0,2,4
Gm48908,0,0,0,0,0,0,1,0,2,2,3,0
Gm13486,0,0,0,0,0,0,2,0,0,2,0,0
Gm13488,0,0,0,0,0,0,0,0,0,0,0,1
Gm13487,0,0,3,1,0,0,2,1,0,0,1,0
Gm13485,0,0,0,0,0,0,0,0,0,0,0,0
Gm13484,0,0,0,0,0,0,0,0,0,0,0,0
Gm13498,1,3,10,10,1,3,3,1,0,3,4,1
Rnd3,2626,3121,3117,6316,870,3988,4888,5066,4345,4708,4672,3721
Gm28639,0,0,0,0,0,0,0,0,0,0,0,0
Gm13500,0,0,0,0,0,0,0,0,0,0,0,0
Gm13497,0,0,0,0,0,0,0,0,0,0,0,0
Gm13499,0,0,0,0,0,0,0,0,0,0,0,0
X1700057H21Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm23505,0,0,0,0,0,0,0,0,0,0,0,0
Gm13494,0,0,0,0,0,0,0,0,0,0,0,0
Gm13491,0,0,0,0,0,0,0,0,0,0,0,0
Tas2r134,0,0,0,0,0,0,0,0,0,0,0,0
Gm13490,0,0,0,0,0,0,0,0,0,0,0,0
Gm13492,0,0,0,0,0,0,0,0,0,0,0,0
Gm13493,105,114,84,138,16,61,110,108,172,218,221,90
Rbm43,392,390,346,262,56,254,419,482,321,506,543,364
Gm13495,0,0,0,0,0,0,0,0,0,0,0,0
Nmi,591,673,609,463,63,454,568,641,608,740,679,539
Tnfaip6,22,28,14,62,4,52,32,37,34,31,37,35
Rif1,776,690,635,1022,150,781,785,896,853,1005,1116,778
Neb,17,29,16,22,6,9,22,14,13,30,24,11
Gm22095,0,0,0,0,0,0,0,0,0,0,0,0
Gm13521,0,0,0,0,0,0,0,0,0,0,0,0
Gm13522,33,29,42,39,7,52,30,41,28,43,32,22
Arl5a,7666,7177,7485,7825,1301,6932,6518,7227,5312,7049,7105,5722
A430018G15Rik,0,0,0,0,0,0,0,0,0,0,0,0
Cacnb4,15,7,4,7,2,10,5,12,10,8,14,3
Gm13541,0,0,0,0,0,0,0,0,0,0,0,0
Bloc1s2.ps,10,13,6,25,0,2,7,8,9,14,14,14
Stam2,2939,3015,3179,3599,546,3363,3970,3832,3496,4252,4356,3019
Gm13548,0,0,1,0,0,0,0,2,0,0,0,0
Fmnl2,30,32,19,51,13,65,18,30,16,25,29,17
Prpf40a,2473,2756,2698,2815,464,2747,2944,3093,2582,3151,3376,2681
Arl6ip6,211,232,219,259,55,260,218,222,185,242,224,185
Gm25898,0,0,0,0,0,0,0,0,0,0,0,0
Gm13501,0,0,0,0,0,0,0,0,0,0,0,0
Gm13503,0,0,0,0,0,1,0,0,0,0,0,0
Gm13502,8,11,5,14,3,8,32,15,23,29,16,6
Gm23315,0,0,0,0,0,0,0,0,0,0,0,0
Rprm,0,0,0,0,0,0,1,0,0,0,0,0
Gm22298,0,0,0,0,0,0,0,0,0,0,0,0
Gm13505,0,0,0,0,0,0,0,0,0,0,0,0
Gm14035,0,0,0,0,0,0,0,0,0,0,0,0
Gm14034,0,0,0,0,0,0,0,0,0,0,0,0
Galnt13,0,0,0,0,0,0,0,0,0,0,0,0
Gm24549,0,0,0,0,0,0,0,0,0,0,0,0
Gm25489,0,0,0,0,0,0,0,0,0,0,0,0
Gm14032,0,0,0,1,0,0,0,0,0,0,0,0
Gm14033,1,0,0,0,0,0,0,0,0,0,0,0
Kcnj3,0,0,0,0,0,0,0,0,0,0,0,0
Gm13517,0,0,2,0,0,1,0,0,0,0,0,1
Gm13615,0,0,0,0,0,0,0,0,0,0,0,0
Gm13518,0,0,0,0,0,0,0,0,0,0,0,0
Mir195b,0,0,0,0,0,0,0,0,0,0,0,0
Gm13527,0,0,0,0,0,0,0,0,0,0,0,0
Nr4a2,17,23,19,21,6,17,44,39,37,43,42,36
BB557941,0,0,0,0,0,0,0,0,0,0,0,0
X4930555B11Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm13526,0,0,0,0,0,0,0,0,0,0,0,0
A930012O16Rik,4,2,0,3,0,7,8,3,3,3,4,2
Gpd2,941,1237,1293,1427,203,1356,1871,1765,1573,1860,1653,1357
Gm13535,0,0,0,0,0,0,0,0,0,0,0,0
Gm13531,0,0,0,0,0,0,0,0,0,0,0,0
Gm13532,0,0,0,0,0,1,0,0,0,0,0,0
Gm13533,0,0,0,0,0,0,0,0,0,0,0,0
Gm25388,0,0,0,0,0,0,0,0,0,0,0,0
Gm33594,0,0,0,0,0,0,0,0,0,0,0,0
Galnt5,0,0,0,0,0,0,0,0,0,0,0,0
Ermn,0,0,0,0,0,0,0,0,0,0,0,0
Gm13534,0,0,2,1,0,2,0,2,4,1,0,2
Cytip,2,2,0,3,0,0,0,0,0,0,0,0
Gm13546,0,0,0,0,0,0,0,0,0,0,0,0
Acvr1c,0,0,0,0,0,0,0,0,0,0,2,0
Gm13544,0,0,0,0,0,0,0,0,0,0,0,0
Gm13545,0,0,0,1,0,0,0,0,0,0,0,0
Acvr1,176,248,137,243,37,358,203,217,201,305,251,175
Gm17409,0,0,0,0,0,0,0,0,0,0,0,0
Upp2,145,123,92,102,15,99,102,58,81,112,76,57
Gm13558,0,0,0,0,0,0,0,0,0,0,0,0
Gm13559,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc148,0,1,0,5,0,2,1,5,2,4,3,4
Gm11099,0,0,0,0,0,0,0,0,0,0,0,0
Gm13560,0,0,0,0,0,0,0,0,0,0,0,0
Gm13557,0,0,0,0,0,0,0,0,0,0,0,0
Gm13550,0,0,0,0,0,0,0,0,0,0,0,0
Pkp4,827,1090,966,1039,149,917,1583,1437,1324,1714,1405,1102
X5330411J11Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm13551,0,0,0,0,0,0,0,0,0,0,0,0
Gm13549,9,6,26,28,0,20,7,3,2,4,4,4
Dapl1,0,0,0,0,0,0,0,0,0,0,0,0
Gm13552,12,16,5,31,1,9,7,6,10,16,7,3
Tanc1,876,1120,785,1813,252,1419,1522,1693,1642,1884,1686,1270
Wdsub1,133,196,167,152,27,150,233,262,239,320,315,180
Baz2b,520,557,553,720,122,538,706,727,610,784,860,564
Gm13574,0,0,0,0,0,0,0,0,0,0,0,0
Gm13572,3,0,0,0,0,2,2,5,0,0,0,0
Gm13570,0,0,0,0,0,0,0,0,0,0,0,0
Gm13620,0,0,0,0,0,0,0,0,0,0,0,0
Ldha.ps,7,4,15,12,0,5,2,4,0,4,5,3
Marchf7,1172,1227,1233,1839,255,1709,1652,1795,1527,1613,1672,1295
Cd302,1928,2104,2262,1420,210,1258,3032,2516,1996,2914,2474,2057
Rpl10a.ps4,6,1,8,7,0,4,2,5,2,1,2,3
Ly75,151,173,169,205,30,129,185,189,175,184,271,138
Gm13571,0,0,0,0,0,0,0,0,0,0,0,0
Gm13580,0,0,0,0,0,0,0,0,0,0,0,0
Pla2r1,1,4,3,3,2,0,2,9,11,5,2,11
Gm13583,0,0,0,0,0,0,0,0,0,0,0,0
Gm13566,0,0,0,0,0,0,0,0,0,0,0,0
Gm13567,0,0,0,0,0,0,0,0,0,0,0,0
Itgb6,9,10,4,14,1,11,4,1,2,9,10,5
Rbms1,1490,1685,1552,1834,258,1768,1750,1764,1523,2094,2280,1404
Gm13582,0,0,0,0,0,0,0,0,0,0,0,0
Gm13579,0,0,0,0,0,0,0,0,0,0,0,0
Gm13581,0,0,0,0,0,0,0,0,0,0,0,0
Gm26422,0,0,0,0,0,0,0,0,0,0,0,0
Gm22338,0,0,0,0,0,0,0,0,0,0,0,0
Tank,678,711,724,872,95,699,916,991,824,838,936,694
Gm13626,2,0,0,0,0,0,0,0,0,0,0,0
Psmd14,3511,3790,3839,3935,623,4301,4272,4550,3831,4603,4888,3494
Gm22403,3,0,0,1,0,0,0,0,0,0,0,0
Gm25966,0,0,0,0,0,0,0,0,0,1,0,2
Tbr1,4,0,1,0,0,0,0,0,0,0,1,0
Gm13555,0,0,0,0,0,0,0,0,0,0,0,0
Slc4a10,0,0,0,0,0,0,0,2,0,1,0,0
Dpp4,2228,2309,2503,2377,382,2233,2841,3039,2592,3437,3138,2295
Gm13561,0,0,0,0,0,0,0,0,0,0,0,0
Gm13565,1,0,2,0,0,0,0,0,0,0,0,0
Gm13564,0,0,0,0,0,0,0,0,0,0,0,0
Gcg,0,0,0,0,0,0,0,0,0,0,0,0
Fap,2,2,7,0,1,1,4,0,2,0,0,1
Ifih1,831,989,699,684,104,575,829,1068,1087,1209,1206,703
Gca,177,206,212,221,22,191,312,315,279,332,293,227
Gm13590,0,0,0,1,0,0,1,0,0,0,0,0
Kcnh7,20,15,8,7,0,12,16,8,15,35,9,6
Gm22020,0,0,0,0,0,0,0,0,0,0,0,0
Gm13569,0,0,0,0,0,0,0,0,0,0,0,0
AL772407.1,0,0,0,0,0,0,0,0,0,0,0,0
Gm23503,0,0,0,0,0,0,0,0,0,0,0,0
Fign,4,7,14,1,2,2,14,20,9,20,12,21
Gm13575,0,0,0,0,0,0,0,0,0,0,0,0
Gm13577,12,12,22,14,2,16,22,22,10,9,17,5
Gm13576,0,0,0,0,0,0,0,0,0,0,0,0
Gm13578,4,1,6,11,1,6,4,2,2,5,6,1
Grb14,2890,3371,3183,1862,333,1921,2602,2809,2381,3409,3434,2543
Cobll1,1984,2161,1737,3368,502,2454,1711,1857,1589,2161,2242,1483
Gm13594,0,6,5,3,1,3,2,1,1,1,0,3
Gm13592,0,0,0,0,0,1,0,0,0,0,0,0
Gm13593,0,0,0,0,0,0,0,0,0,0,0,0
Slc38a11,0,0,0,0,0,0,0,0,0,0,0,2
Mir6337,0,0,0,0,0,0,0,0,0,0,0,0
Gm24138,0,0,0,0,0,0,0,0,0,0,0,0
Scn3a,0,0,0,2,1,4,0,2,0,1,4,0
Gm13595,0,0,0,0,0,0,0,0,0,0,0,0
Scn2a,0,0,0,0,0,0,0,0,0,0,0,4
BX284648.1,0,0,0,0,0,0,0,0,0,0,0,0
Csrnp3,0,0,0,0,0,0,0,0,0,0,0,0
Gm13619,0,0,0,0,0,0,0,0,0,0,0,0
Gm13617,0,0,0,0,0,0,0,0,0,0,0,0
Galnt3,23,12,26,24,5,81,1,7,1,8,27,10
Gm28638,0,0,0,0,0,0,0,0,0,0,0,0
Gm13616,0,0,0,0,0,0,0,0,0,0,0,0
Ttc21b,169,204,195,169,39,145,212,190,188,203,204,146
Gm13618,0,0,0,0,0,0,0,0,0,0,0,0
Scn1a,0,0,0,0,0,0,0,0,0,0,0,0
Gm13630,0,0,0,0,0,0,0,0,0,0,0,0
Gm13629,0,0,0,0,0,0,0,0,0,0,0,0
Rpl35.ps1,0,0,0,0,0,0,0,0,0,0,0,0
Scn9a,0,0,0,0,0,0,0,0,0,0,0,0
Gm13627,0,0,0,0,0,0,0,0,0,0,0,0
Gm23046,0,0,0,0,0,0,0,0,0,0,0,0
Scn7a,0,12,12,4,0,0,4,20,15,10,9,19
Gm13600,0,0,3,3,0,2,3,0,0,0,1,0
Gm13602,2,0,1,2,1,2,0,0,0,0,0,0
Gm13598,0,0,0,0,0,0,0,0,0,0,0,0
Xirp2,3,2,1,7,4,20,7,1,0,1,4,3
Gm13599,0,0,0,0,0,0,0,0,0,0,0,0
Gm21830,0,0,0,0,0,0,0,0,0,0,0,0
Gm23328,0,0,0,0,0,0,0,0,0,0,0,0
Gm13601,0,0,0,0,0,0,0,0,0,0,0,0
B3galt1,27,61,38,11,3,10,23,14,5,10,14,10
Mir7224,0,0,0,0,0,0,0,0,0,0,0,0
Gm26743,0,0,0,0,0,0,0,0,0,0,0,0
Gm13604,0,0,2,1,0,0,1,0,0,0,1,0
Gm13603,0,0,0,0,0,0,0,0,0,0,0,0
Mir6335,0,0,0,0,0,0,0,0,0,0,0,0
Gm37964,0,0,0,0,0,0,0,0,0,0,0,0
Gm13607,1,0,0,0,0,0,0,0,0,0,0,0
Stk39,50,56,45,91,9,105,43,61,43,45,66,52
Gm13596,0,0,0,0,0,0,0,0,0,0,0,0
Gm26321,0,0,0,0,0,0,0,0,0,0,0,0
Gm13597,21,13,14,50,4,6,16,21,19,39,27,15
Gm49461,0,0,0,0,0,0,0,0,0,0,0,0
Gm49462,0,0,0,0,0,0,0,0,0,0,0,0
Gm36002,0,0,0,0,0,0,0,0,0,0,0,0
X4933409G03Rik,0,0,0,0,0,0,0,0,0,0,0,0
X4932414N04Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm36231,0,3,0,1,0,1,0,1,1,3,2,1
Gm13612,0,1,3,2,0,0,1,1,2,0,2,0
Cers6,1240,1469,1263,2010,326,1594,1416,1543,1412,1578,1720,1422
Gm37159,0,0,1,4,0,0,0,0,1,1,1,0
Gm38236,0,0,0,0,0,4,0,0,0,1,1,0
Gm37651,2,0,0,0,0,1,0,0,0,0,3,0
Gm37747,0,0,1,4,2,0,2,0,1,0,0,0
Gm37666,1,1,2,5,3,1,3,3,7,9,1,3
Gm38377,0,3,0,1,0,2,0,3,0,0,2,5
Nostrin,494,607,597,261,53,332,472,479,473,628,631,548
Spc25,122,89,121,83,16,79,108,108,105,177,148,102
G6pc2,0,1,0,1,0,0,0,1,0,2,0,0
Abcb11,526,780,619,402,57,348,1032,846,925,1243,859,629
Gm13613,0,0,0,0,0,0,0,0,0,0,0,0
Gm13614,0,1,0,0,0,0,0,0,0,0,1,0
Dhrs9,328,458,407,473,61,470,1067,946,812,1048,795,604
Lrp2,6,9,11,17,2,1,4,2,8,11,1,5
Bbs5,253,175,181,151,25,176,183,177,176,203,241,166
Klhl41,4,8,11,6,2,7,7,9,2,5,6,7
Fastkd1,611,878,599,674,117,608,705,706,663,785,770,589
Ppig,713,875,775,878,133,764,969,990,816,1039,1039,721
Gm13622,1,0,1,2,0,0,0,0,1,1,1,1
Ccdc173,6,6,11,4,1,5,7,5,10,7,8,4
Gm13623,0,1,1,1,0,2,5,2,1,2,1,0
Phospho2,1038,1088,1009,953,132,831,1190,1302,1080,1409,1124,954
Gm13624,0,0,0,0,0,0,0,0,0,0,0,0
Klhl23,0,0,0,0,2,0,0,3,0,0,2,0
Ssb,1585,1741,1592,2009,354,1743,1742,1907,1562,1846,1991,1523
Mettl5,306,291,360,278,29,315,343,280,171,296,349,224
Gm13625,0,0,0,0,0,1,0,0,0,0,0,0
Mettl5os,4,8,7,13,0,0,3,6,3,3,5,9
Ubr3,1919,2105,1653,2283,353,2009,2139,2404,2284,2585,2419,1753
Gm13631,0,0,0,0,0,0,0,0,0,0,0,0
Myo3b,0,0,0,0,0,0,0,0,0,0,0,0
Rpl9.ps7,12,12,18,25,2,11,9,9,8,15,7,7
Sp5,0,0,3,0,0,0,0,0,1,0,0,0
Gad1os,0,0,0,0,0,0,0,0,0,0,0,0
Erich2os,0,0,0,0,0,0,0,0,0,0,0,0
Erich2,0,0,0,0,0,0,0,0,0,0,0,0
Gm37026,0,0,0,0,0,0,0,0,0,0,0,0
Gad1,0,0,0,0,0,0,0,0,0,0,0,0
Gm16510,0,0,0,0,0,0,0,0,0,0,0,0
Gm26558,2,5,6,10,4,6,2,11,8,6,11,2
Gorasp2,7908,8941,8621,8829,1289,8264,7925,8479,6853,10327,10235,7329
Tlk1,1063,1301,892,1345,183,1142,1360,1608,1317,1699,1528,1115
Gm13633,0,0,0,0,0,0,0,0,0,0,0,0
Gm13632,0,0,0,0,0,0,0,0,0,0,0,0
Mettl8,193,199,215,153,24,185,259,213,213,283,317,244
Dcaf17,2171,2027,1983,2234,345,2345,1194,1522,1351,1817,2054,1357
Cybrd1,3,9,4,7,4,13,6,9,1,1,2,6
Dync1i2,1920,2136,1443,1599,253,1633,1654,1806,1581,2262,1929,1442
Slc25a12,1055,1197,1144,961,176,884,1159,1165,1011,1480,1439,1096
Gm13641,1,3,1,1,0,1,0,1,0,0,0,0
Hat1,514,440,439,545,84,564,591,505,466,558,513,329
Gm13642,0,1,3,2,1,0,0,0,0,2,0,0
Gm23166,0,0,0,0,0,0,0,0,0,0,0,0
Metap1d,661,710,622,616,101,602,861,743,689,914,894,633
Gm23253,0,0,0,0,0,0,0,0,0,1,0,0
Dlx1as,1,3,3,6,0,7,7,3,4,5,6,4
Dlx1,0,0,0,1,0,0,0,0,0,1,2,0
Dlx2,0,0,0,0,0,0,0,0,0,0,0,0
Platr26,0,0,0,0,0,1,0,0,0,0,0,0
Gm13647,0,0,0,0,0,0,0,0,0,0,0,0
Itga6,673,780,767,1009,183,989,789,1018,825,978,1147,780
Gm13663,0,0,0,0,0,0,0,0,0,0,0,0
Gm13662,0,0,0,0,0,0,0,0,0,0,0,0
Gm13739,0,0,0,0,0,0,0,0,0,0,0,0
Pdk1,3555,3535,3327,4849,669,4687,2132,2380,2087,2608,3247,2080
Gm13746,0,0,0,0,0,0,0,0,0,0,0,0
Rapgef4,2864,3218,2998,1491,231,1337,1963,2242,1874,2462,2493,1761
Gm26408,0,0,0,0,0,0,0,0,0,0,0,0
Rapgef4os1,0,0,0,2,0,0,0,0,0,0,0,0
Rapgef4os2,6,6,7,1,0,2,2,5,1,2,2,3
Rapgef4os3,3,0,17,1,0,0,5,0,0,4,3,2
Map3k20,1762,2118,1730,1819,230,1756,1764,1837,1666,2376,2209,1703
Zakit,0,8,3,0,0,3,1,0,3,1,0,6
Rpl36a.ps4,0,0,0,0,0,0,0,0,0,0,0,0
Cdca7,63,94,95,54,8,60,52,98,79,126,123,102
Rps13.ps8,0,0,0,0,0,0,0,0,0,0,0,0
Eif1.ps3,0,0,0,0,0,1,0,0,0,0,0,0
Pex13.ps,0,3,7,0,0,3,0,2,0,1,0,3
Ak3l2.ps,18,8,7,35,4,6,7,10,23,28,23,7
X8430437L04Rik,0,0,0,0,0,0,0,0,0,0,0,0
X6430710C18Rik,13,8,6,17,0,14,4,10,6,10,14,5
Sp3,1254,1412,1186,1963,276,1452,1927,1861,1558,1910,1760,1480
Gm25960,0,0,0,0,0,0,0,0,0,0,0,0
Hspe1.ps5,0,0,0,0,0,0,0,0,0,0,0,0
Gm11084,0,0,0,0,0,0,1,0,0,0,0,0
Sp3os,6,9,16,10,1,11,15,8,1,6,10,3
Ola1,764,779,868,780,107,783,680,791,602,779,866,619
Gm13665,0,0,2,0,0,1,5,1,0,3,2,1
Gm13666,0,0,0,0,0,0,0,0,0,0,0,0
Gm13664,0,0,0,0,0,0,0,0,0,0,0,0
Sp9,0,0,0,0,0,0,0,0,0,0,0,0
Cir1,186,227,245,181,45,145,244,258,182,287,202,190
Scrn3,1107,1145,1101,727,136,780,1038,1010,887,1200,1346,971
Gpr155,274,280,343,291,36,270,341,291,261,324,306,278
Gm13703,0,0,0,0,0,0,0,0,0,0,0,0
Gm13709,1,0,0,0,0,0,0,1,0,0,0,0
D230022J07Rik,3,0,0,2,0,2,4,2,2,2,2,2
Gm13707,0,0,0,0,0,0,0,0,0,0,0,0
Wipf1,2,3,3,4,0,5,4,3,7,5,2,1
Gm13708,0,0,0,0,0,0,0,0,0,0,0,0
Chrna1,0,0,0,0,0,1,0,0,1,0,1,1
Chrna1os,6,14,15,8,4,7,18,10,6,10,21,10
Chn1os3,2,4,1,0,0,2,4,0,0,7,3,0
Chn1,12,16,13,4,2,14,1,9,5,7,8,6
Chn1os1,0,0,0,0,0,0,0,0,0,0,0,0
Gm13640,0,0,0,0,0,0,0,0,0,0,0,0
Atf2,1583,1807,1692,2480,343,2022,1978,2376,1857,2218,2146,1728
Gm27421,0,0,0,0,0,0,0,0,0,0,0,0
Atp5g3,9054,9012,10120,10091,1340,9511,9464,8998,6525,9312,9766,6910
Gm13668,0,1,0,5,0,0,0,0,0,0,0,0
A630050E04Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm28640,0,0,0,0,0,0,0,0,0,0,0,0
Gm13667,0,0,0,0,0,0,0,0,0,0,0,0
X4930441J16Rik,0,0,0,0,0,0,0,0,0,0,0,0
Lnpk,269,310,255,365,43,294,359,352,232,370,340,251
X4930445N08Rik,0,0,0,0,0,0,0,0,0,0,0,0
Mrpl23.ps1,11,11,11,48,5,18,9,13,5,16,9,10
Gm22975,0,0,0,0,0,0,0,0,0,0,0,0
Gm13672,0,0,0,0,0,0,0,0,0,0,0,0
Evx2,0,0,0,0,0,0,0,0,0,0,0,0
Hoxd13,0,0,0,0,0,0,0,0,0,0,0,0
Hoxd12,0,0,0,0,0,0,0,0,0,0,0,0
Hoxd11,0,0,0,0,0,0,0,0,0,0,0,0
Gm28309,0,0,0,0,0,0,0,0,0,0,0,0
Hoxd10,0,0,0,0,0,0,0,0,0,0,0,0
Gm14396,0,0,0,0,0,0,0,0,0,0,0,0
Gm28793,0,0,0,0,0,0,0,0,0,0,0,0
Hoxd9,0,0,0,0,0,0,1,0,0,0,0,0
Gm44463,0,0,0,0,0,0,0,0,0,0,0,0
Hoxd3os1,0,0,0,0,0,0,0,0,0,0,0,0
Hoxd8,0,0,0,0,0,0,0,0,0,0,0,0
Hoxd3,0,0,0,0,0,0,0,0,0,0,0,0
Hoxd4,0,0,0,0,0,0,0,0,0,0,0,0
Mir10b,0,0,0,0,0,0,0,0,0,0,0,0
Gm28230,0,0,0,0,0,0,0,0,0,0,0,0
Haglr,0,2,0,0,0,0,0,0,0,0,0,0
Gm14424,0,0,0,0,0,0,0,0,0,0,0,0
Gm14426,0,0,0,0,0,0,0,0,0,0,0,0
Hoxd1,0,0,0,0,0,0,0,0,0,0,0,0
Mtx2,1576,1700,1781,1743,296,1663,1832,2000,1496,2138,2035,1537
Gm14425,0,0,3,1,0,0,0,0,2,0,4,1
Gm14427,0,0,0,0,0,0,0,0,0,0,0,0
n.R5s198,0,0,0,0,0,0,0,0,0,0,0,0
Gm13652,0,0,0,0,0,0,0,0,0,0,0,0
X2600014E21Rik,0,0,0,0,0,0,0,0,0,0,0,0
A330043C09Rik,0,0,0,0,0,0,0,0,0,0,0,0
Rps6.ps4,124,114,109,322,27,108,113,105,102,181,150,85
Gm13653,1,1,1,0,0,1,0,0,0,0,0,0
Gm18494,0,0,0,0,0,0,0,0,0,0,0,0
Gm37243,0,0,0,0,0,0,0,0,0,0,0,0
Gm13658,0,0,0,0,0,0,0,0,0,0,0,0
Gm13660,0,0,0,0,0,0,0,0,0,0,0,0
Gm13655,0,0,0,0,0,3,0,0,0,0,0,1
Gm24574,0,0,0,0,0,0,0,0,0,0,0,0
Hnrnpa3,1188,1410,1383,1438,187,1387,1399,1455,1342,1350,1610,1187
Nfe2l2,4868,6037,4932,4709,790,4006,5116,5620,4809,5989,6372,4939
Gm24996,7,6,6,11,1,7,10,7,11,15,12,9
E030042O20Rik,14,28,21,21,0,8,15,15,10,23,9,7
Gm13656,0,0,0,0,0,0,0,0,0,0,0,0
Gm13657,62,84,73,30,5,40,34,42,37,49,59,42
Gm13669,0,0,1,1,1,0,0,0,0,0,0,0
Gm13670,0,0,0,0,0,0,0,0,0,0,0,0
Agps,1425,1664,1493,1571,210,1648,1487,1694,1397,1693,1897,1491
Ttc30b,78,89,102,47,5,41,40,62,52,116,72,65
Ttc30a2,0,0,0,0,0,0,1,0,0,4,0,0
Ttc30a1,36,60,57,13,1,20,31,19,41,38,37,29
Pde11a,0,0,0,0,0,0,0,0,0,0,0,0
Gm44337,0,0,0,0,0,0,0,0,0,0,0,0
Cyct,0,0,0,0,0,0,0,0,0,0,0,0
Rbm45,31,62,41,50,4,44,59,77,44,59,58,26
Osbpl6,2,2,0,7,2,6,3,4,6,4,9,6
Gm23164,0,0,0,0,0,0,0,0,0,0,0,0
Prkra,153,115,141,116,22,122,140,100,114,174,142,133
Pjvk,0,0,0,0,0,0,0,0,0,0,1,1
Fkbp7,93,109,100,90,15,89,107,136,131,143,120,107
Plekha3,1480,1456,1483,1565,269,1375,1417,1618,1244,1564,1608,1201
Ttn,2,7,8,11,0,2,6,14,0,12,6,8
Gm13938,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc141,346,325,335,340,65,335,240,274,253,298,266,215
